CATÁLOGO DE VÁLVULAS 3B 2024,,,,,,,,,,,,,,,,,,,,
"Motor 
Engine","Aplicación 
Application","Cil 
Cyl","D
G","Nº 3B 
3B P/N","Sup Vast.   
Stem Over Size.","Ø Vástago     
Stem","Ø Cabeza      
Head","Largo Total 
Length",º,TIPO CHAV,CAB,#OE,#OE,#OE,#OE,#OE,#OE,#MORESA,#EDIVAL,
V6 2.8lt. 24v. Vin 4/6 Turbo ,GMC Terrain,6,G,4402-AN,STD,5.96,35.15,101.22,45º,2,C,12575352,12620501,,,,,V-7211,,
V6 3.0lt. 24v. Vin 5/LFW / G/Y/LF1 ,,,,,,,,,,,,,,,,,,,,
V6 2.8lt. 24v. A28NER/B284/B284R/GM LP9,,,,4403-EBN,STD,5.95,30.6,95.2,45º,2,E,12621548,,,,,,S-7212,,
,,,,,,,,,,,,,,,,,,,,
6.6 Lts. - 2001~   Duramax TD Isuzu,Chevrolet Silverado - 2500HD / 3500,6,D,3790-APN,STD.,6.96,32.9,126.4,45º,2,E,97225507,12638805, ,,,,,,
,GMC Sierra 2500HD,,,3791-EPN,STD.,6.95,30.9,126,45º,2,E,97225508,97366946, ,,,,,,
"V6, 217 C.I., (3.6L), DOHC, GAS, FI, 24 Valve, Vin D, V, LLT Direct Injected.",Acadia,6,G,4600-AN,STD,5.963,37,101.3,45º,2,C,12575351,,,,,,,,
,,,,4601-EN,STD,5.95,30.6,97.1,45º,2,C,12575354,,,,,,,,
"V6, 217 C.I(3.6L), DOHC,FLEX,GAS,FI, 24V,VIN 3 LFX DIREECT INJEC
V6, 217 C.I(3.6L), DOHC,GAS,FI, 24V,VIN 8 LF3 TURBO",Canyon / Terrain ,6,G,4605-AN,STD,5.959,38.35,100.65,45º,2,C,,,,,,,V-7271,,
,,,,4403-EBN,STD,5.95,30.6,95.2,45º,2,E,12621548,,,,,,S-7212,,
,GUASCOR,,,,,,,,,,,,,,,,,,,
 SFG LD 180 / 240 / 360 / 480  L6 / L8 /,Guascor Engine ,6/8/12/16,D,4347-EX (Adm/Esc),STD,10.96,52,193.5,20º,2,A,,,,,,,,,
" V12 / V16 - 18,0lt. / 24.0lt. / 36.lt. / 48.0lt",,,,,,,,,,,,,,,,,,,,
,HANOMAG,,,,,,,,,,,,,,,,,,,
D57 - 1950-69,Tractor R45 / 55 / 60,4,D,529-AE,STD.,9.97,40.3,163.3,45º,8,B,503651000,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,HINO,,,,,,,,,,,,,,,,,,,
"L4, (4.6 LTS.), 16 VALVE, OHC, TURBO INTERCOOLER, SERIE 300, J05E",,4,D,4712-AN,STD.,6.963,38.9,132.8,60,2,E,S1371-11632 ,,,,,,,,
,,,,4713-EN,STD.,6.94,36.9,132.15,45º,2,E,S1371-51733 ,,,,,,,,
,HOLDEN,,,,,,,,,,,,,,,,,,,
"253 / 308
V8  - 1978-79",Comodore / Torana,8,G,3205-AN,STD.,8.665,45,132.8,45º,7,E,7434767,,,,,,,,
,,,,23205-EN,STD.,8.645,28.8,132.8,45º,7,E,7434768,,,,,,,,
308  -  1974-75,Torana L34,8,G,3202-AN,STD.,8.67,49.5,132.2,45º,7,C,9935278,,,,,,,,
,,,,23202-EPN,STD.,8.67,40.7,132.2,45º,7,A,9935284,,,,,,,,
,HONDA,,,,,,,,,,,,,,,,,,,
L13A- 16v,Fit 1.4 Ltrs,4,G,4164-AN,STD.,5.475,32,118.35,45º,2,A,14711-PWA-000,,,,,,,1192 A,
,,,,4165-EN,STD.,5.45,27.9,118.25,45º,2,C,14721-PWA-000,,,,,,,21192 E,
D15B1   -  1.5 Lts.   -   D16A6   -   1.6 Lts.   -   16V  - 1988~,Accura / Civic / Integra,4,G,3432-A,STD.,5.475,28.9,115.1,45º,2,C,14711PM3000,17211PM3003,,,,,,21190 A,
,,,,3433-EBN,STD.,5.44,25,118.7,45º,2,C,14721PM3000, ,,,,,,21190 E,
EJ / EF /EC 1355 CC,HONDA,4,G,3290-A,STD.,6.57,35.04,112.66,45º,20,C,,,,,,,,,
"1.3 Lts. - 1.5 Lts.
EV / EW  - 12V - 1983~",Civic / Triumph / CRX / Ballade / Shuttle,,,3287-AN,STD.,6.58,27,112.7,45º,2,C,14711-PEO-000,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,23287-EN,STD.,6.55,32,113.85,45º,2,C,14721-PEO-000,,,,,,,,
1.5 Lts. - EP  -  12V - 1980~,Accord / Prelude / Quintet,4,G,3289-A,STD.,6.99,35,113.2,45º,2,C,14711-PB2-000,,,,,,,,
,,,,23289-E,STD.,6.96,28.08,113.33,45º,2,A,14721-689-000,,,,,,,,
L15A6 1.5-16v, City / New Fit VTEC,4,G,4166-AN,STD.,5.475,27.5,118.35,45º,2,C,14711-PWC-000,,,,,,,1193 A,
,,,,4167-EN,STD.,5.455,23,117.6,45º,2,C,14721-PWC-000,,,,,,,21193 E,
"V-TEC / V-TEC-E -16V.-1.6 Lts -(1992-2000)- 
1.7 Lts. - (2001-03)                ",Civic,4,G,3854-AN,STD.,5.484,30,118.57,45º,2,C,14711P08000,14711P2A000,,,,,,1191 A,
,,,,3855-EBN,STD.,5.456,25.98,115.95,45º,2,C,14721P08000,,,,,,S-7010,21191 E,
"1.6 Lts. - 1.8 Lts.
ES / EY  -  12V - 1983~",Prelude / Accord,4,G,3291-AN,STD.,6.55,30,121,45º,2,C,14711-PC6-000,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,23291-EBN,STD.,6.947,34.9,120.6,45º,2,C,14721-PC6-000,,,,,,,,
"1.6 Lts. - 1.8 Lts. - 2.0 Lts.
A16 / A18 / A20
C27 / B20  -  1984~",Accord / Prelude / CRV 2.0 Ltrs,4,G,3430-A,STD.,6.57,33,104.4,45º,2,C,14711PH3000,,,,,,,,
,,,,4022-A,STD.,6.584,31.1,105.35,45º,2,C,,,,,,,,,
,,,,3431-EB,STD.,6.55,28,106,45º,2,C,,,,,,,,,
1.8 Lts.  -  EK  -  12V  -  1978~,Accord / Prelude,4,G,3236-A,STD.,6.97,34,113.3,45º,2,C,14711-689-000,,,,,,,,
,,,,23236-EP,STD.,6.955,28,113.8,45º,2,C,14721-689-660,,,,,,,,
1.8 Lts.  -  EK  -  12V  -  1982~,Accord / Prelude,4,G,3288-AN,STD.,6.99,36,113.4,45º,2,C,14711-PC1-000,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,23288-ECP,STD.,6.96,30,113.8,45º,2,C,14721-PC1-000,,,,,,,,
H22A4 L4 2.2lt. 16v. ,Prelude ,4,G,4302-AN,STD,5.475,35,106.85,45º,2,C,14711-P13-000,,,,,,,,
,,,,4263-ECB,STD,5.47,30,106.95,45º,2,C,EM-2763,,,,,,,,
 B20B 2.0 lt. 4 cil. 16 v.,CR-V,4,G,4130-A,STD,6.575,31,105.5,45º,2,C,,,,,,,,,
,,,,4131-EN,STD,6.56,28,105.8,45º,2,C,,,,,,,,,
2.0 Lts. SI / CRV-4 2.4 Lts.,Civic / CRV-4 / Element / Accord / Acura TSX,4,G,4252-A,STD,5.47,35,109.1,45º,2,C,14711-PNA-000,,,,,,V-7113,,
Motor K20A / K24A / K24A8 / K24Z6 / 424Z1 L4 2.4Lts 16V,,,,4253-E,STD,5.45,30,108.75,45º,2,C,14721-PNA-000,,,,,,V-7051,,
F20A / F18A 2.0lt / 1.8lt - L4 - 16v,                 Honda Prelude / Accord                                     ,4,G,4342-AN,STD,5.48,32,112.3,45º,2,C,14711-PTO-000,,,,,,,,
,,,,4343-EN,STD,5.46,27,124,45º,2,C,14721-PTO-000,,,,,,,,
1.8 Lts. - 06/12 - Motor R18A1 ,Civic,4,G,4176-AN,STD.,5.485,32,116.7,45º,2,C,14711-RNA-A00,,,,,,,,
,,,,3855-EBN,STD.,5.456,25.98,115.95,45º,2,C,14721P08000,,,,,,S-7010,21191 E,
2.2 Lts.  -  F22   -   16V  -   1989~,Accord / Inspire / Accura/ Prelude,4,G,3458-AN,STD.,5.479,34,112.04,45º,2,C,14711PT3A00,14711P0BA00,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,3459-EBN,STD.,5.455,29,123.6,45º,2,C,14721PT30A0,14721PT6A00,,,,,,,
2.2 Lts.  -  F22  -  16V  -  1989~,Accord / Inspire / Accura,4,G,3688-AN,STD.,6.584,34,103.65,45º,2,C,14711PT2000,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,3689-ECB,STD.,6.551,29,102.7,45º,2,C,14721PT2000,,,,,,,,
L4 16v. 2.3lt. - F23A1 / F23A4 / F23A7,HONDA Accord y Odyssey,4,G,4306-AN,STD,5.49,34.01,115.85,45º,2,C,14711POHA00,,,,,,V-7053,,
V6 24v. 3.0lt. - J30A1,,,,4163-EN,STD,5.452,29,114.2,45º,2,C,14721P0HA00,,,,,,S-7054,,
"Motor K24A27 
 2.4 Lts. 4Cil. 16v.",Honda CRV,4,G,4522-AN,STD,5.475,36,108.8,45º,2,C,14711R40A00,,,,,,,,
,,,,4523-EBN,STD,5.46,31,108.8,45º,2,C,14721R40A00,,,,,,,,
J35A6/J35A7 / J35A9 / J32A3 / J35A5-,Honda Odyssey / Pilot / Ridgeline,6,G,4264-AN,STD,5.48,35,116,45º,2,C,14711P8EA00,,,,,,V-7241,,
 V6 - 3.0lt. / 3.2lt. / 3.5lt. - 24v. ,,,,4265-EBN,STD,5.46,30.1,114.3,45º,2,C,14721P8EA00,,,,,,,,
"V6 3471cc (3.5L), SOHC, GAS, FI, 24 VALVE, J35Z2","Accord/ Crosstour/ Odyssey/ Pilot/ Ridgeline
RDX-RLX-TL-TSX-ZDX",6,G,4604-AN,STD,5.489,36,117,45º,2,C,,,,,,,V-7239,,
"V6 3664 cc (3.7L), SOHC, GAS, FI, 24 VALVE J37A4",,,,4265-EBN,STD,5.46,30.1,114.3,45º,2,C,14721P8EA00,,,,,,,,
,HYUNDAI,,,,,,,,,,,,,,,,,,,
1.0 Lts. - 3JE -  12V - 1999,Atos,4,G,3796-AN,STD.,5.47,23.4,100.4,45º,2,C,2121102500,,,,,,,5049 A,Suitable for CNG             --------            Apto GAS
,,,,3797-EBN,STD.,5.44,26.96,100.15,45º,2,E,,,,,,,,,
"L3 1,0lt 12v.",Hyundai HB 20,3,G,4490-AN,STD,5.475,26.8,92.9,45º,2,E,2221104000,,,,,,,,
,,,,4491-EN,STD,5.46,24.1,93.4,45º,2,E,2221204070,,,,,,,,
L4 1.1lt. iRDE2 12 val,Hyundai Picanto i10,4,G,4426-AN,STD,5.465,24.9,99.1,45º,2,E,2221102220,,,,,,,,
,,,,4427-EBN,STD,5.445,28,98.5,45º,2,E,2221202210,,,,,,S-7178,,
1.1 Lts. - 12V.,Santro,4,G,4050-AN,STD.,5.475,23.5,99.6,45º,2,E,2221102200,,,,,,,,
,,,,4051-EN,STD.,5.44,27,99,45º,2,E,2221102200,,,,,,,,
"1.3 Lts. - 1.5 Lts.
G13B / G15  -  1985~",Exel / Pony,4,G,462-A,STD.,6.57,34,102.15,45º,2,C,MD-016460,,,,,,,1086 A,
,,,,1462-EB,STD.,6.358,30.03,101,45º,2,C,MD-016461,,,,,,V-9579X,21086 E,
1.3 Lts. - 1.5 Lts.  -  12V,Accent / Lantra,4,G,3738-AN,STD.,5.945,27.45,99,45º,2,E,2221122003,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,3739-EBN,STD.,5.945,32,98.4,45º,2,E,22212-22011,,,,,,,,
 4G61 / 4G63,Lantra / Sonica -,4,G,3426-AC,STD.,6.573,33.96,109.65,45º,2,C,2221133000,MD127840,,,,,,5051 A,Suitable for CNG             --------            Apto GAS
 1.6 Lts. - 1.8 Lts. - 2.0  Lts. - 16V  1989~,,,,3427-ECB,STD.,6.54,30.43,109.65,45º,2,C,2221233000,MD127841,,,,,,25051 E,
"Motor G4F - NAFTA
1.6 LTS. ",I-30 GAMMA,4,G,4250-AN,STD,5.47,31.5,93.2,45º,2,E,22211-2B400,,,,,,V-7293,,
,,,,4251-EN,STD,5.47,26,92.6,45º,2,E,22212-2B400,,,,,,S-7294,,
"G4ED
1.6 Ltrs. 16V","Elantra / Coupe / Accent / 
Lavita / Click / Excel II / Tiburon / 
Verna  Vision/ Getz / Matrix ",4,G,4152-AN,STD,5.97,29.1,91.8,45º,2,E,2221126600,,,,,,V-7003,,
,,,Esc,4153-EN,STD,5.96,24.9,92.4,45º,2,E,2221226000,2221226050,,,,,S-7004,,
"G4DM / G4GM - 
1.8 / 2.0 Lts. 16v. ",Elantra / Tiburon / Tucson/ Trajet / i30 ,4,G,4178-AN,STD,5.94,32,102.2,45º,2,C,2221123000, ,,,,,,,
,,,Esc,4179-EN,STD,5.932,27.5,104.7,45º,2,c,2221223000,,,,,,,,
"G4GC  4Cil. 2.0Lts. 
DOHC, GAS, FI, 16 v.  ",Elantra / Tucson,4,G,4536-AN,STD,5.966,31.9,114.35,45º,2,C,2221123600, ,,,,,,,
,,,,4537-EN,STD,5.95,27.4,116.8,45º,2,C,2221223600,,,,,,,,
"CRDi / D4EA
2.0 Lts ",Tucson/ Sta Fe/Carens /  Elantra ,4,D,4118-A,Std,5.94,28.55,95.63,45º,2,E,2221127001,,,,,,,,
,,,Esc,4119-EN,Std,5.9,24.26,95.27,45º,2,E,2221227001,,,,,,,,
"D4HB / D4HA
2.2 Lts. 16v","Santa Fe, Santa Fe II,
 Tucson CRDI, IX 35 CRDI",4,D,4516-AN,STD,5.935,29,108.3,45º,4,C,22211-2F000,,,,,,,,
,,,,4517-EBN,STD,5.915,26,108.3,45º,4,C,22212-2F010,,,,,,,,
D4BH - 2.5 Lts.,H1 - Terracam ( 2004) - Galloper (1999-2001) - Mitsubishi L 200 D4BH ,4,D,3896-AN,STD.,7.97,40,130,45º,2,A,2221142520,,,,,,V-7051,21626 A,
,,,,3897-EN,STD.,7.935,34,129.85,45º,2,A,2221242520,,,,,,,21626 E,
"2.5 Lts.  D - 4BB
D4BA - 1999~",H100,4,D,3720-AN,STD.,7.97,42,136.2,45º,2,C,22211-42200,,,,,,,,Suitable for CNG             --------            Apto GAS
,,,,3721-EBN,STD.,7.95,36,136,45º,2,C,22212-42200,,,,,,,25050 E,
Motor Euro IV,I-10 Kappa,4,G,4268-AN,STD,5.475,26.8,101,45º,2,E,2221103201,,,,,,V-7291,,
,,,,4269-EN,STD,5.465,24.1,101.15,45º,2,E,3331203201,,,,,,S-7292,,
5BP 8Lts. L4 Vin 1.  16v,Spectra/ Sephia,4,G,4284-AN,STD,5.974,31.5,102.92,45º,2,C,OK24712111,,,,,,,,
,,,,4285-EN,STD,5.974,27,101.42,45º,2,C,OK24712121,,,,,,,,
2.5 Lts. Motor D4BB -DIESEL, H100 / H1,4,D,4170-AN,STD,7.96,42,132,45º,2,E,22211-42220,,,,,,,,
,,,Esc,4171-EN,STD,7.94,36,131.8,45º,2,E,22212-42220,,,,,,,,
G6BA Delta V6 2.7Lts 24V,Hyunday Santa Fe/ Tucson/ Tiburon / Sonata,4,G,4258-AN,STD,5.955,32.05,96.35,45º,2,A,2221137201,,,,,,,,
,,,,4259-EN,STD,5.963,27.55,97.15,45º,2,A,2221237200,,,,,,,,
"Hyundai V6, 3342cc, (3.3L), DOHC, GAS, FI, 24 Valve, Vin F, G G6DH Lamda II GDi Direct Injected /  
V6, 3778cc, (3.8L), DOHC, GAS, FI, 24 Valve, Vin D, J G6DJ Lamda II GDi Direct Injected.","Azera /Genesis /Genesis Coupe / 
SantaFe / Santa Fe XL",6,G,4598-AN,STD,5.471,36,105.3,45º,2,E,222113C800,,,,,,,,
,,,,4599-EN,STD,5.463,31,105.5,45º,2,E,222123C800,,,,,,,,
Hyunday G6AU Sigma v6 3.5Lts. 24v,Hyunday Santa Fe/ Xg350,4,G,4280-AN,STD,6.565,35,106.25,45º,2,C,2221135510,2221135520,,,,,,,
,,,,4281-EN,STD,6.54,30.5,105.41,45º,2,C,2221235500,,,,,,,,
"L4, (2.5lts) 8v.",Galloper / H100,4,D,4634-A,STD,7.96,40,132.4,45º,2,E,,,,,,,,,
,,4,D,4635-EN,STD,7.93,34,132.4,45º,2,E,,,,,,,,,
,INFINITI,,,,,,,,,,,,,,,,,,,
SR20DE ,Infinity G20                                    ,4,G,4378-AN,STD,5.965,34,98.3,45º,2,C,132012J202,132012J202,,,,,V-9745,,
2.0lt. L4 16v ,,,,4379-EN,STD,5.945,30.1,99.1,45º,2,C,132022J202,,,,,,,,
VG30DE v6 3.0Lts 24v, Infiniti J30,4,G,4278-AC,STD,5.98,34,103.12,45º,2,C,1320130P00,13201F6510,13201F6511,,,,,,
,,,,4279-EC,STD,5.95,29.6,106.66,45º,2,C,1320230P00,132024P00,,,,,,,
VQ35SE V6 3.5lt. 24v,JX35 / EX35 / M35 / FX35,6,G,4420-AN,STD,5.97,36.8,97.2,45º,2,C,132019N00A,13201JK20A,13201JK20B,,,,,,
,,,,4421-EN,STD,5.96,30.4,94.8,45º,2,C,132029N00A,13202JA10A,13202JK21A,,,,,,
 VK56DE V8 ,QX56.,8,G,4418-AN,STD,5.97,37.15,96.45,45º,2,C,1291182Z10,132017S000,,,,,S-7058,,
5.6lt 32v,,,,4419-EN,STD,5.96,31.35,94,45º,2,C,132027S000, ,,,,,S-7057,,
,IHC/NAVISTAR,,,,,,,,,,,,,,,,,,,
113  -  1994-96,TT 113 - C 113,4,G,3740-A,STD.,8.661,34.1,122.75,45º,8,A,42024DA,,,,,,,,
,,,,3741-EB,STD.,8.661,30.94,123,45º,8,A,42025DA,,,,,,,,
"Turbo Diesel V8, 6,4lt. 32v.",Power Stroke Turbo,16,D,4206-AC,STD,6.95,34,130.5,37º,2,C,8C3Z6507A,,,,,,V-7085,,
,,,,4207-EC,STD,6.945,29.5,130.5,40º,2,C,8C3Z6505A,,,,,,S-7086,,
"L4 2,5L - L4 2,7L","122, H, HV, I4, IV4, W, W4, C152, Super H, HV, W4, V164 - C164",4,D,4318-A,STD,8.661,38.1,136.22,45º,8,A,50706DA,,,,,,,,
,,,,4319-E,STD,8.661,34.93,136.12,45º,8,B,50707DA,,,,,,,,
"L6 3,9L - L4 2,7L - L6 4,6L",I.H.C. Tractor,4 y 6,D,3476-A,STD,9.449,41.96,154,45º,8,C,278301R1,,,,,,,,
,,,,3477-EP,STD,9.449,33.02,154,46º,8,C,278302R1,,,,,,,,
123,C123 Tractor,4,G,3636-A,STD.,8.661,34.1,125.5,45º,8,A,57797D,,,,,,,,
,,,,3637-E,STD.,8.661,29.4,125.5,45º,8,B,57798D,,,,,,,,
DT 408 / 466 / D530  ,Navistar / IHC Truck,6,D,3556-AC,STD,9.444,50.04,147.12,60º,2,A,1824642C1,1824642C2,,,,,V-9753X,,
 L6 6.7 Lts. / TD Inj. L6 7.6 Lts. /  L6 8.7Lts. 12v.,,,,3557-EX,STD,9.433,40.65,147,45º,2,E,1824842C1,,,,,,,,
7.6 / 8.7 Lts. - HEUI INJ - 12V,530 - DT 466 C.I. Elec. Inj.,6,D,3982-AC,STD.,9.454,50.04,152.2,30º,2,E,1826471C1,1826471C2,1842913C1,,,,,,
,,,,3968-AC,STD.,9.45,45.35,152.15,30º,2,A,1823875C2,1823875C1,,,,,V-9554,,
,,,,3969-EX,STD.,9.422,45.35,152.15,45º,2,A,1824840C2,1824840C1,1842912C1,,,,,,
"400 c.i. (6,6 l.) - v 400 (1974/1975)",IHC/Navistar,8 ,G,474-A,STD.,9.449,51.43,124.43,30º,5,C,3218733,3229657,8122756,,,,V-9556,,
,,,,474-A,.015,9.83,51.43,124.43,30º,5,C,3218733,3229657,8122756,,,,V-9556,,
,,,,1474-EP,STD.,9.449,42.67,124.7,45º,5,C,3218731,,,,,,S-9557,,
,,,,1474-EP,.003,9.525,42.67,124.7,45º,5,C,3218731,,,,,,S-9557,,
,,,,1474-ECP,.015,9.83,42.67,124.7,45º,5,C,3218731,3224598,J3224598,,,,,,
155,Neuss D179 / D239 / D358,6,D,3200-A,STD.,9.957,42.9,146.09,45º,2,A,3055055R2,,,,,,V-9509,,
,,,,3200-E,STD.,9.936,40.9,146,45º,2,A,3055056R1,31804799R1,,,,,S-9510,,
"232 - 3,8 l. -  1973-80",AMC Jeep 232 / 258 / 304,6,G,428-A,STD.,9.44,45.4,124.4,30º,5,A,3218732,3218809,3218810,444829C1,,,V-9554,,
,,,,428-A,.003,9.516,45.4,124.4,30º,5,A,3218732,3218809,3218810,444829C1,,,V-9554,,
,,,,428-A,.015,9.821,45.4,124.4,30º,5,A,3218732,3218809,3218810,444829C1,,,V-9554,,
,,,,1428-EP,STD.,9.44,35.7,124.3,45º,5,A,3224597,3218813,3224602,,,,S-9555,1037 E,
,,,,1428-EP,.003,9.516,35.7,124.3,45º,5,A,3224597,3218813,3224602,,,,S-9555,1037 E,
,,,,1428-EP,.015,9.821,35.7,124.3,45º,5,A,3224597,3218813,3224602,,,,S-9555,1037 E,
"232C,I, (3,8 l.) - 12 valv. - AMC (1969/1972)",IHC/Navistar,6 / 8 ,G,3204-A,STD.,9.44,45.3,124.4,30º,8,E,3240768,3237465,J3237465,,,,,,
,,,,3204-A,.015,9.821,45.3,124.4,30º,8,E,3240768,3237465,J3237465,,,,,,
,,,,23204-ECP,STD.,9.44,35.6,124.2,45º,8,E,3240767,3237464,J3237464,,,,,,
,,,,23204-ECP,.003,9.516,35.6,124.2,45º,8,E,3240767,3237464,J3237464,,,,,,
,,,,23204-ECP,.015,9.821,35.6,124.2,45º,8,E,3240767,3237464,J3237464,,,,,,
 ,Navistar DT 360,6,D,3494-AP,STD.,9.449,43.38,144.29,30º,6,A,676687C4,,,,,,V-9715,,
,,,,3495-EPS,STD.,9.411,37.01,144.3,45º,6,A,1810086C1,1810086C2,,,,,AS-9714,,
7.6 Lts. - Diesel Electronic Inj. 24 V,"TRUCK DT466 ""Maxforce""",6,D,4068-AC,STD.,7.927,39.72,147.98,30º,2,A,1839968C1,,,,,,,,
,,,,4069-EX,STD.,7.927,36.55,147.6,45º,2,A,1839970C1,1842145C2,,,,,,,
408  -  1993-99,Navistar DT408 ND,6,D,3536-AC,STD.,7.925,50.04,147.04,30º,6,C,1818580C1,,,,,,S-9751,,
,,6 Cyl,,3537-EC,STD.,7.907,40.64,146.97,45º,6,C,1818579C1,1824838C1,,,,,V-9752,,
414 / 436 / 466  - 1972~,IHC D414 / D436 / D466,6,D,23201-ACP,STD.,9.451,50.01,146.99,30º,6,A,675046C4,675046C2,,,,,V-9713,22038 A,
,IHC D414 / D436 / D466 - Turbo,,,23201-ECPS,STD.,9.451,40.64,147.14,45º,6,A,676865C4,676865C2,,,,,AS-9712,,
551   -   9.0 Lts. - V8,IHC Truck 351,6,D,3256-AC,STD.,9.47,48.75,153,45º,16,A,,,,,,,,,
,,,,23256-EC,STD.,9.44,43.79,153.5,45º,16,A,,,,,,,,,
363 C.I. - 6.0Lts. - OHV - FI - 32V. - Año 2003 - 2007,Powerstroke Turbo,8,D,3988-AC,STD.,6.955,34,128.5,30º,2,A,3C3Z6507AA,,,,,,,,
,,,,3989-EC,STD.,6.955,28,128.5,37º,2,A,3C3Z6505AA,,,,,,,,
"420 / 445  - 6.9 / 7.3Lts.
V8 - 1988-95",IHC / Navistar,8,D,23019-ACP,STD.,9.449,47.7,144.5,30º,6,A,E3TZ6507D,,,,,,V-9755,,
,,,,23019-ACP,.015,9.83,47.7,144.5,30º,6,A,E3TZ6507D,,,,,,V-9755,,
,,,,23019-ECB,STD.,9.449,40.5,144.2,38º,6,C,1816638C2,,,,,,,,
,,,,23019-ECB,.015,9.83,40.5,144.2,38º,6,A,1816638C2,,,,,,,,
304 / 345  -  V8,IHC 4-152 / V-304 / V-345,8,D,472-AC,STD.,9.46,50.2,132.5,45º,7,A,151269R2,391936C1,151269R2,,,,,,
,,,,1472-ECPS,STD.,9.449,40.8,139.2,45º,7,A,151443R2,151443R3,151443R2,,,,,,
,,,,1472-ECPS,.015,9.83,40.8,139.2,45º,7,A,151443R2,151443R3,151443R2,,,,,,
"444  7.3 Lts.
V8 - 1993-00",Navistar 444 TE,8,D,3258-AC,STD.,7.93,42.7,147.49,30º,6,E,1814424C1,,,,,,,,
,,,,3259-ECP,STD.,7.93,42.7,147.34,38º,6,E,,,,,,,,,
L4 4.8LTS. 16V. EURO IV - DIESEL,MIDIBUS 3100 FE (12/),4,D,4612-AC,STD,6.963,36.6,122.05,60,4,C,,,,,,,,,
,,4,D,4613-ECX,STD,6.963,32.5,121.5,45º,4,C,,,,,,,,,
,ISUZU,,,,,,,,,,,,,,,,,,,
4FE1 L4 8V,Autoelevador Isuzu,4,D,4298-AN,STD,7.95,31,134.4,45º,2,C,8-94178-102-0,,,,,,,,
,,,,4299-EN,STD,7.94,26,134.4,45º,2,C,8-94410-960-2,,,,,,,,
1.5 Lts.  -  4XC1 / 4XE1  -  16V - 1985~,Gemini / I-Mark,4,G,3115-AN,STD.,6.98,36,105.1,45º,2,C,8-94250-977-0,,,,,,,,
,,,,23115-EN,STD.,6.965,31,105.1,45º,2,C,8-94250-978-0,,,,,,,,
"1.6 Lts. - 1.8 Lts. -  2.0 Lts.
G161 / G180 / G200 - 1966~",Bellet / Luv / Trooper / Impulse / Piazza,4,G,476-AC,STD.,7.95,42.35,109.7,45º,8,C,8-94205-977-0,,,,,,,5301 A,Suitable for CNG             --------            Apto GAS
,,,,1476-ECP,STD.,7.938,33.95,110.8,45º,8,C,8-94212-835-0,,,,,,S-7090,25301 E,
1.7 Lts. -  4EE1,Gemini D,4,D,3168-A,STD.,6.96,34.4,103.9,45º,2,E,641000 / 641044,,,,,,,1213 A,
,,,,3169-EB,STD.,6.95,30.5,103.8,45º,2,E,641300 / 641322,,,,,,,21213 E,
1.8 Lts.  -  G180 / G180S / G180Z    1972~,Luv / Faster / KB,4,G,832-AN,STD.,7.945,40.34,110.8,45º,8,C,94217178,94251275,,,,,,5306 A,Suitable for CNG             --------            Apto GAS
,,,,1832-EN,STD.,7.945,34.02,109.18,45º,8,C,94217179,94251276,,,,,,25306 E,
"1.8 Lts.- 2.0 Lts. - 2.2 Lts.
4FB1 / 4FC1 / 4FD1  - 1982~",Gemini / WFR,4,D,3112-AC,STD.,7.96,39,132.3,45º,2,A,8-94216-589-0,,,,,,,,
,,,,23112-ECP,STD.,7.945,34,132.3,45º,2,A,8-94108-307-0,,,,,,,,
2.0 Lts 8V  4ZC1 TURBO,ISUZU,,G,4144-A,Std,5.95,31.96,102,45º,4,E,90412277,,,,,,,,
,,,,4145-E,Std,5.93,29,92.22,45º,4,E,90410813,,,,,,,,
"4ZC1 / 4ZD1   -  1983~ 
2.0 Lts. ",Impulse / Trooper,4,G,847-AN,STD.,7.95,42.4,110.6,45º,8,C,8941539690,8942512750,,,,,,1114 A,Suitable for CNG             --------            Apto GAS
,Impulse / Trooper,4,G,1847-EN,STD.,7.939,36,110.15,45º,8,C,8942512760,8942514400,,,,,S-9940,21114 E,
"2.0 Lts. - 2.2 Lts. - 2.4 Lts.
C190 / C220 / C240     1971~",Elf / Luv / Trooper / Florian,4,G,837-A,STD.,7.945,38,115.8,45º,2,E,9-12551-802-0,,,,,,,5307 A,
,,,,1837-EP,STD.,7.925,32,115.9,45º,2,A,9-12552-801-0,,,,,,,25307 E,
"2.0 Lts. - 2.2 Lts. - 2.4 Lts.
C190 / C223 / C240      1981~",Journey / Trooper / Elf / Luv,4,D,3700-AC,STD.,7.937,40,115.85,45º,2,E,5-12551028,,,,,,,,
,,,,3701-EC,STD.,7.912,34,115.85,45º,2,E,5-12552034,,,,,,,,
"L4  2.2lt. 
D 210 - 8v","Termo-King
",4,D,4438-AN,STD,7.965,38.1,118.6,45º,2,E,8-94171-291-0,,,,,,,,
