MAHLE,EDIVAL,3B,ORIGINAL,FABRICANTE,
VA0590255,1567 A,3094 AC ,1S7Z-6507-AA,FORD,
VA0590292,21566 AGNC,3093 ECBS,,FORD,
VA0590664,1064 AGNC,193 AC,,FORD,
"VA0590664 0,076",1064 AGNC1,193 AC+3,,FORD,
"VA0590664 0,127",1064 AGNC2,193 AC+5,,FORD,
"VA0590664 0,254",1064 AGNC3,193 AC+10,,FORD,
"VA0590664 0,381",1064 AGNC4,193 AC+15,,FORD,
"VA0590664 0,508",1064 AGNC5,193 AC+20,,FORD,
"VA0590664 0,762",1064 AGNC6,193 AC+30,,FORD,
VA0590666,1074 AGNC,291 AC,,FORD,
"VA0590666 0,076",1074 AGNC1,291 AC+3,,FORD,
"VA0590666 0,127",1074 AGNC2,291 AC+5,,FORD,
"VA0590666 0,254",1074 AGNC3,291 AC+10,,FORD,
"VA0590666 0,381",1074 AGNC4,291 AC+15,,FORD,
"VA0590666 0,508",1074 AGNC5,291 AC+20,,FORD,
"VA0590666 0,762",1074 AGNC6,291 AC+30,,FORD,
VA0590668,1087 AGNC,367 AC,,FORD,
"VA0590668 0,076",1087 AGNC1,367 AC+3,,FORD,
"VA0590668 0,127",1087 AGNC2,367 AC+5,,FORD,
"VA0590668 0,254",1087 AGNC3,367 AC+10,,FORD,
"VA0590668 0,381",1087 AGNC4,367 AC+15,,FORD,
VA0590670,1132 AGNC,3054 AC,,FORD,
VA0590672,1133 AGNC,3068 AC,928M-6507-D1A,FORD,
VA0590674,1138 AGNC,3082 AC,,FORD,
VA0590676,1237 AGNC,3090 AC,97MM-6507-B2A,FORD,
VA0590677,1238 AGNC,,,FORD,
VA0590679,2007 AGNC,194 A,,FORD,
"VA0590679 0,076",2007 AGNC1,194 A+3,,FORD,
"VA0590679 0,127",2007 AGNC2,194 A+5,,FORD,
"VA0590679 0,254",2007 AGNC3,194 A+10,,FORD,
"VA0590679 0,381",2007 AGNC4,194 A+15,,FORD,
"VA0590679 0,508",2007 AGNC5,194 A+20,,FORD,
"VA0590679 0,762",2007 AGNC6,194 A+30,,FORD,
VA0590680,2008 AGNC,,,FORD,
"VA0590680 0,076",2008 AGNC1,,,FORD,
"VA0590680 0,127",2008 AGNC2,,,FORD,
"VA0590680 0,254",2008 AGNC3,,,FORD,
"VA0590680 0,381",2008 AGNC4,,,FORD,
"VA0590680 0,508",2008 AGNC5,,,FORD,
"VA0590680 0,762",2008 AGNC6,,,FORD,
VA0590685,1022 A,189 A,CIDE-6507-A,FORD,
"VA0590685 0,076",1022 A1,189 A+3,CIDE-6507-B,FORD,
"VA0590685 0,127",1022 A2,189 A+5,,FORD,
"VA0590685 0,254",1022 A3,189 A+10,,FORD,
"VA0590685 0,381",1022 A4,189 A+15,CIDE-6507-C,FORD,
"VA0590685 0,508",1022 A5,189 A+20,,FORD,
"VA0590685 0,762",1022 A6,189 A+30,CIDE-6507-D,FORD,
VA0590687,1024 A,,D2TZ-6507-A,FORD,
"VA0590687 0,076",1024 A1,,D2TZ-6507-B,FORD,
"VA0590687 0,381",1024 A4,,D2TZ-6507-C,FORD,
"VA0590687 0,762",1024 A6,,,FORD,
VA0590689,1045 A,191 A,BAC4DZ-6507-A,FORD,
"VA0590689 0,076",1045 A1,191 A+3,BAC4DZ-6507-B,FORD,
"VA0590689 0,127",1045 A2,191 A+5,,FORD,
"VA0590689 0,254",1045 A3,191 A+10,,FORD,
"VA0590689 0,381",1045 A4,191 A+15,BAC4DZ-6507-C,FORD,
"VA0590689 0,508",1045 A5,191 A+20,,FORD,
"VA0590689 0,762",1045 A6,191 A+30,,FORD,
VA0590691,1046 A,,72DR-6507-A,FORD,
"VA0590691 0,076",1046 A1,,72DR-6507-B,FORD,
"VA0590691 0,127",1046 A2,,,FORD,
"VA0590691 0,254",1046 A3,,,FORD,
"VA0590691 0,381",1046 A4,,72DR-6507-C,FORD,
"VA0590691 0,762",1046 A6,,,FORD,
VA0590693,1098 A,,79HM-6507-EA,FORD,
"VA0590693 0,076",1098 A1,,,FORD,
"VA0590693 0,127",1098 A2,,79HM-6507-FA,FORD,
"VA0590693 0,254",1098 A3,,,FORD,
"VA0590693 0,381",1098 A4,,79HM-6507-GA,FORD,
VA0590695,1106 A,,C5TZ-6507-A,FORD,
"VA0590695 0,076",1106 A1,,C5AZ-6507-B,FORD,
"VA0590695 0,381",1106 A4,,C5AZ-6507-C,FORD,
"VA0590695 0,762",1106 A6,,,FORD,
VA0590696,1131 A,3058 A,894F-6507-A1B,FORD,
VA0590697,1186 A,,86SM-6507-AA,FORD,
VA0590699,1333 A,3814 AC,X57E-6507-N2A,FORD,
VA0590700,1620 A,,E9NN-6507-AC,FORD,
VA0590701,1763 A,,723F-6507-AAA,FORD,
VA0590715,21564 A, 3040 AC,89FF-6507-AA/FA,FORD,
"VA0590715 0,076",21564 A1, 3040 AC+3,,FORD,
"VA0590715 0,127",21564 A2, 3040 AC+5,,FORD,
"VA0590715 0,254",21564 A3, 3040 AC+10,,FORD,
VA0590723,6064 A,328 A,D6NN-6507-A,FORD,
"VA0590723 0,076",6064 A1,328 A+3,D6NN-6507-B,FORD,
"VA0590723 0,381",6064 A4,328 A+15,D6NN-6507-C,FORD,
"VA0590723 0,762",6064 A6,328 A+30,,FORD,
VA0590724,6251 A,3038 A,79NU-6507-A,FORD,
VA0591075,1020 A,,C8TZ-6507-A,FORD,
"VA0591075 0,076",1020 A1,,C8TZ-6507-B,FORD,
"VA0591075 0,127",1020 A2,,,FORD,
"VA0591075 0,381",1020 A4,,C8TZ-6507-C,FORD,
"VA0591075 0,762",1020 A6,,,FORD,
VA0591076,1023 A,,C5DZ-6507-A,FORD,
"VA0591076 0,076",1023 A1,,C5DZ-6507-B,FORD,
"VA0591076 0,381",1023 A4,,C5DZ-6507-C,FORD,
"VA0591076 0,762",1023 A6,,,FORD,
VA0591077,1107 A,,C9DZ-6507-J,FORD,
"VA0591077 0,381",1107 A4,,,FORD,
"VA0591077 0,762",1107 A6,,,FORD,
VA0591079,1130 A,,711M-6507-DA,FORD,
"VA0591079 0,381",1130 A4,,,FORD,
VA0591080,1200 A,,C5AZ-6507-A,FORD,
"VA0591080 0,076",1200 A1,,C5AZ-6507-B,FORD,
"VA0591080 0,381",1200 A4,,C5AZ-6507-C,FORD,
VA0591081,1568 A,3042 AC ,F77Z-6507-AA/90TM-6507-AB,FORD,
VA0591083,1725 A,,D0AZ-6507-E,FORD,
"VA0591083 0,076",1725 A1,,D0AZ-6507-F,FORD,
"VA0591083 0,127",1725 A2,,,FORD,
"VA0591083 0,381",1725 A4,,D0AZ-6507-G,FORD,
"VA0591083 0,762",1725 A6,,,FORD,
VA0591084,1903 A,,D9TZ-6507-A,FORD,
"VA0591084 0,381",1903 A4,,,FORD,
VA0591085,2006 AGNC,197 A,B7A-6507-AA,FORD,
"VA0591085 0,076",2006 AGNC1,197 A+3,,FORD,
"VA0591085 0,127",2006 AGNC2,197 A+5,,FORD,
"VA0591085 0,254",2006 AGNC3,197 A+10,,FORD,
"VA0591085 0,381",2006 AGNC4,197 A+15,,FORD,
"VA0591085 0,508",2006 AGNC5,197 A+20,,FORD,
"VA0591085 0,762",2006 AGNC6,197 A+30,,FORD,
VA0591086,2040 A,,C4TZ-6507-A,FORD,
"VA0591086 0,076",2040 A1,,C4TZ-6507-B,FORD,
"VA0591086 0,127",2040 A2,,,FORD,
"VA0591086 0,381",2040 A4,,C4TZ-6507-C,FORD,
"VA0591086 0,762",2040 A6,,,FORD,
VA0591087,2081 A,,D9HZ-6507-G,FORD,
"VA0591087 0,127",2081 A2,,,FORD,
"VA0591087 0,381",2081 A4,,,FORD,
"VA0591087 0,762",2081 A6,,,FORD,
VA0591089,6059 A,198 A,B7A-6507-AA,FORD,
"VA0591089 0,076",6059 A1,198 A+3,B7A-6507-AB,FORD,
"VA0591089 0,127",6059 A2,198 A+5,,FORD,
"VA0591089 0,381",6059 A4,198 A+15,B7A-6507-AC,FORD,
"VA0591089 0,762",6059 A6,198 A+30,B7A-6507-AD,FORD,
VA0591338,1098 AGNC,310 AC,,FORD,
"VA0591338 0,076",1098 AGNC1,310 AC+3,,FORD,
"VA0591338 0,127",1098 AGNC2,310 AC+5,,FORD,
"VA0591338 0,254",1098 AGNC3,310 AC+10,,FORD,
"VA0591338 0,381",1098 AGNC4,310 AC+15,,FORD,
VA0591342,1604 A,,D7BZ-6507-A,FORD,
"VA0591342 0,076",1604 A1,,D7BZ-6507-B,FORD,
"VA0591342 0,381",1604 A4,,D7BZ-6507-C,FORD,
"VA0591342 0,762",1604 A6,,,FORD,
VA0591461,1274 A,3070 AC ,F57Z-6507-A,FORD,
VA0591471,1234 A,,1S4G-6507-CB,FORD,
VA0700678,1705 AGNC,3313 A,048 109 601 A,FORD,
VC0590663,1041 AE,,8BA-6505-A,FORD,
VC0590684,1019 AE,183 AE,A/B-6505,FORD,
VC0591092,1021 AE,,E93A 65-5,FORD,
VC0591093,1025 AE,,52-6505-A,FORD,
VC0591094,1026 AE,,11T-6505-A,FORD,
VE0130010,6151 E, 1565 ECP,9.3080.460.0024,FORD,
VE0210150,22078 E,3467 ECB,3920868-3802356,FORD,
VE0210152,22177 E,3335 ECP,3921444-3802085,FORD,
VE0441054,21420 E,3845 ECB,0949.B1,FORD,
VE0570034,22015 E,251 E,0910041-0910073,FORD,
VE0570112,22031 E,1498 ECP,70910012,FORD,
VE0570230,22101 E,23345 ECBS,70910054,FORD,
VE0570232,22310 E,3859 EBN,70910080,FORD,
VE0590042,26069 E,3037 EP,84AU-6505-A,FORD,
VE0590065,21605 EGNC,23238 EB,026 109 611 A,FORD,
VE0590092,26051 E,,78MU-6505-A/B,FORD,
VE0590171,21136 E,3063 ECB,XS6E-6505-AB,FORD,
VE0590173,21132 EGNC,3053 ECB,97BM-6505-AA,FORD,
VE0590175,21566 EGNC,3093 ECBS,,FORD,
VE0590178,21137 E,,98MM-6505-B2A,FORD,
VE0590182,21233 E,3067 ECB,948M-6505-D2A,FORD,
VE0590256,21567 E,3095 EC,1S7Z-6505-AA,FORD,
VE0590276,21568 E,3043 ECP ,F77Z-6505-AA/90TM-6505-AB,FORD,
VE0590296,21233 EGNC,,,FORD,
VE0590665,21064 EGNC,1192 EG,,FORD,
"VE0590665 0,076",21064 EGNC1,1192 EG+3,,FORD,
"VE0590665 0,127",21064 EGNC2,1192 EG+5,,FORD,
"VE0590665 0,254",21064 EGNC3,1192 EG+10,,FORD,
"VE0590665 0,381",21064 EGNC4,1192 EG+15,,FORD,
"VE0590665 0,508",21064 EGNC5,1192 EG+20,,FORD,
"VE0590665 0,762",21064 EGNC6,1192 EG+30,,FORD,
VE0590667,21074 EGNC,,,FORD,
"VE0590667 0,076",21074 EGNC1,,,FORD,
"VE0590667 0,127",21074 EGNC2,,,FORD,
"VE0590667 0,254",21074 EGNC3,,,FORD,
"VE0590667 0,381",21074 EGNC4,,,FORD,
"VE0590667 0,508",21074 EGNC5,,,FORD,
"VE0590667 0,762",21074 EGNC6,,,FORD,
VE0590669,21087 EGNC,1367 EGX,,FORD,
"VE0590669 0,076",21087 EGNC1,1367 EGX+3,,FORD,
"VE0590669 0,127",21087 EGNC2,1367 EGX+5,,FORD,
"VE0590669 0,254",21087 EGNC3,1367 EGX+10,,FORD,
"VE0590669 0,381",21087 EGNC4,1367 EGX+15,,FORD,
VE0590671,21132 E,,89BM-6505-CA,FORD,
VE0590673,21133 EGNC,3069 ECB,,FORD,
VE0590675,21138 EGNC,3083 ECB,,FORD,
VE0590681,21022 E,1190 E,CODE-6505-J/A,FORD,
"VE0590681 0,076",21022 E1,1190 E+3,CODE-6505-K/B,FORD,
"VE0590681 0,127",21022 E2,1190 E+5,,FORD,
"VE0590681 0,254",21022 E3,1190 E+10,,FORD,
"VE0590681 0,381",21022 E4,1190 E+15,CODE-6505-L/C,FORD,
"VE0590681 0,508",21022 E5,1190 E+20,,FORD,
"VE0590681 0,762",21022 E6,1190 E+30,,FORD,
VE0590682,21078 EGNC,1291 EGX,,FORD,
"VE0590682 0,076",21078 EGNC1,1291 EGX+3,,FORD,
"VE0590682 0,127",21078 EGNC2,1291 EGX+5,,FORD,
"VE0590682 0,254",21078 EGNC3,1291 EGX+10,,FORD,
"VE0590682 0,381",21078 EGNC4,1291 EGX+15,,FORD,
"VE0590682 0,508",21078 EGNC5,1291 EGX+20,,FORD,
"VE0590682 0,762",21078 EGNC6,1291 EGX+30,,FORD,
VE0590683,22006 EGNC,1195 E,,FORD,
"VE0590683 0,076",22006 EGNC1,1195 E+3,,FORD,
"VE0590683 0,127",22006 EGNC2,1195 E+5,,FORD,
"VE0590683 0,254",22006 EGNC3,1195 E+10,,FORD,
"VE0590683 0,381",22006 EGNC4,1195 E+15,,FORD,
"VE0590683 0,508",22006 EGNC5,1195 E+20,,FORD,
"VE0590683 0,762",22006 EGNC6,1195 E+30,,FORD,
VE0590688,21024 E,,C9AZ-6505-A,FORD,
"VE0590688 0,076",21024 E1,,C9AZ-6505-B,FORD,
"VE0590688 0,381",21024 E4,,C9AZ-6505-C,FORD,
"VE0590688 0,762",21024 E6,,,FORD,
VE0590690,21045 E,1192 E,BAC4DZ-6505-A,FORD,
"VE0590690 0,076",21045 E1,1192 E+3,,FORD,
"VE0590690 0,127",21045 E2,1192 E+5,,FORD,
"VE0590690 0,254",21045 E3,1192 E+10,,FORD,
"VE0590690 0,381",21045 E4,1192 E+15,BAC4DZ-6505-C,FORD,
"VE0590690 0,508",21045 E5,1192 E+20,,FORD,
"VE0590690 0,762",21045 E6,1192 E+30,,FORD,
VE0590692,21046 E,,72DR-6505-A,FORD,
"VE0590692 0,076",21046 E1,,72DR-6505-B,FORD,
"VE0590692 0,127",21046 E2,,,FORD,
"VE0590692 0,254",21046 E3,,,FORD,
"VE0590692 0,381",21046 E4,,72DR-6505-C,FORD,
"VE0590692 0,762",21046 E6,,,FORD,
VE0590694,21098 EGNC,1310 EG,,FORD,
"VE0590694 0,076",21098 EGNC1,1310 EG+3,,FORD,
"VE0590694 0,127",21098 EGNC2,1310 EG+5,,FORD,
"VE0590694 0,254",21098 EGNC3,1310 EG+10,,FORD,
